time,phase,knee_r_rad,knee_l_rad,hip_r_rad,hip_l_rad,ankle_r_rad,ankle_l_rad,tau_demand_r_Nm,tau_demand_l_Nm,X_geom_r_mm,X_geom_l_mm
0.0,1,1.75,1.75,1.57,1.57,0.0,0.0,1.7993078301507008,1.7993078303891412,0.0,0.0
0.010000000000000002,1,1.7549338163421686,1.754923198058924,1.560116178640769,1.5601279008757145,0.034650991272648146,0.03454645323863361,1.1007691886074404,1.0959185469311166,0.0,0.0
0.02000000000000001,1,1.768368148422841,1.7683546664109766,1.5465930472176523,1.5466156364398138,0.05249334354267972,0.05231387605073822,2.8503276364996406,2.8345019091385293,0.0,0.0
0.03000000000000002,1,1.7789609790935415,1.7789283106893568,1.5198730390310498,1.5198698243755755,0.07676487884324007,0.07663955141445576,0.40917375467887496,0.4041824602288031,0.0,0.0
0.04000000000000003,1,1.78360764194374,1.783529869567394,1.4818838657295241,1.4818224547586472,0.10720258260701794,0.107261260231696,0.6350482318704103,0.6303568772692891,0.0,0.0
0.05000000000000004,1,1.7867311497873095,1.7866290519338297,1.4441536596578664,1.4440993825419586,0.1156744049038465,0.11577876434585344,1.1650123670334018,1.1666204163201392,0.0,0.0
0.060000000000000046,1,1.7869707062066498,1.7868424671714314,1.4021400102578085,1.4020804287313668,0.1228222416887489,0.12305582967285594,0.8656169689199444,0.8679389679237097,0.0,0.0
0.07000000000000005,1,1.7808286491022374,1.780659175823961,1.3545447515605915,1.3544360565501765,0.12688375317179096,0.12737253342255406,0.7303470960654899,0.7346016597865557,0.0,0.0
0.08000000000000006,1,1.7710975411682979,1.7709104322011193,1.3041416239628758,1.3040327653694572,0.12222306101905106,0.12280030980078917,0.7560209842040493,0.7619547431194817,0.0,0.0
0.09000000000000007,1,1.759480215531331,1.7593075576145303,1.2519151043710506,1.2518752306163634,0.11735446508013803,0.11771546162522692,0.8130449367140073,0.7951276677554056,0.0,0.0
0.10000000000000007,1,1.7473762757300157,1.7473075953954353,1.2003878004341073,1.2005541730390619,0.10959561523588433,0.10891163097474096,0.7836368641636717,0.7695569344737443,0.06559310674960629,0.06731011511411644
0.11000000000000008,1,1.7355255815785617,1.735512307168721,1.1511569875832754,1.1512812729533348,0.0971946529493281,0.09722758053693914,0.7971805580169296,0.7761432011059917,0.36186046053595655,0.36219232078197333
0.12000000000000009,1,1.7240993465074512,1.724167264581342,1.10419916467843,1.1044066090465918,0.08669151374399953,0.08637367556152019,0.845752141325633,0.8278271378110382,0.6475163373137194,0.6458183854664512
0.1300000000000001,1,1.7130431178694725,1.713173359851599,1.0601868768803642,1.0603589764488963,0.07485203863711873,0.07496056296016468,0.8666971972946449,0.8599118576900615,0.9239220532631875,0.9206660037100246
0.1400000000000001,1,1.7050887051893084,1.7051818976878321,1.027968562246122,1.028220540196208,0.06813924259736569,0.06735735962636336,0.821819983411018,0.8209535033361348,1.122782370267289,1.1204525578041968
0.1500000000000001,1,1.7045235626522535,1.7045179058935578,1.02144492182284,1.0214883774211692,0.06334053507158484,0.06385851640737202,0.8035933906645703,0.7961322882747872,1.1369109336936636,1.1370523526610554
0.16000000000000011,1,1.706261483151001,1.7063917713086023,1.025442031875219,1.0257711576453628,0.06416824663022112,0.06373190522992149,0.7863000379931542,0.7828973678053295,1.0934629212249747,1.0902057172849422
0.17000000000000012,1,1.7087540940985964,1.70877092990197,1.0337439305200788,1.0338899510518247,0.0652144900077758,0.06527481003539452,0.8248779639008283,0.7972276363697581,1.0311476475350911,1.0307267524507502
0.18000000000000013,1,1.711100308974891,1.7110833978137332,1.0424501207469263,1.042611044643515,0.06660003515974977,0.06659526794454178,0.82762637845493,0.8217319842350612,0.9724922756277232,0.9729150546566702
